account_id,customer_id,account_type,open_date,status,home_country
ACC-CHK-001,CUST-IND-001,checking,2024-01-14,active,US
ACC-CHK-002,CUST-IND-002,checking,2024-01-18,active,US
ACC-CHK-003,CUST-IND-003,checking,2024-01-22,active,US
ACC-CHK-004,CUST-IND-004,checking,2024-01-26,active,US
ACC-SAV-004,CUST-IND-004,savings,2024-05-13,active,US
ACC-CHK-005,CUST-IND-005,checking,2024-01-30,active,US
ACC-CHK-006,CUST-IND-006,checking,2024-02-03,active,US
ACC-CHK-007,CUST-IND-007,checking,2024-02-07,active,US
ACC-CHK-008,CUST-IND-008,checking,2024-02-11,active,US
ACC-SAV-008,CUST-IND-008,savings,2024-05-25,active,US
ACC-CHK-009,CUST-IND-009,checking,2024-02-15,active,US
ACC-CHK-010,CUST-IND-010,checking,2024-02-19,active,US
ACC-CHK-011,CUST-IND-011,checking,2024-02-23,active,US
ACC-CHK-012,CUST-IND-012,checking,2024-02-27,active,US
ACC-SAV-012,CUST-IND-012,savings,2024-06-06,active,US
ACC-CHK-013,CUST-IND-013,checking,2024-03-02,active,US
ACC-CHK-014,CUST-IND-014,checking,2024-03-06,active,US
ACC-CHK-015,CUST-IND-015,checking,2024-03-10,active,US
ACC-CHK-016,CUST-IND-016,checking,2024-03-14,active,US
ACC-SAV-016,CUST-IND-016,savings,2024-06-18,active,US
ACC-CHK-017,CUST-IND-017,checking,2024-03-18,active,US
ACC-CHK-018,CUST-IND-018,checking,2024-03-22,active,US
ACC-CHK-019,CUST-IND-019,checking,2024-03-26,active,US
ACC-CHK-020,CUST-IND-020,checking,2024-03-30,active,US
ACC-SAV-020,CUST-IND-020,savings,2024-06-30,active,US
ACC-BIZ-001,CUST-BIZ-001,business,2023-07-01,active,US
ACC-BIZ-002,CUST-BIZ-002,business,2023-07-01,active,US
ACC-BIZ-003,CUST-BIZ-003,business,2023-07-01,active,US
ACC-BIZ-004,CUST-BIZ-004,business,2023-07-01,active,US
ACC-BIZ-005,CUST-BIZ-005,business,2023-07-01,active,US
ACC-AML-HUB-001,CUST-AML-001,business,2025-08-01,active,US
ACC-SHELL-001,CUST-AML-002,business,2025-08-01,active,KY
ACC-CYCLE-001,CUST-CYCLE-001,business,2025-08-01,active,SG
ACC-CYCLE-002,CUST-CYCLE-002,business,2025-08-01,active,AE
ACC-CYCLE-003,CUST-CYCLE-003,business,2025-08-01,active,HK
ACC-FEED-001,CUST-FEED-001,checking,2025-08-01,active,US
ACC-FEED-002,CUST-FEED-002,checking,2025-08-01,active,US
ACC-FEED-003,CUST-FEED-003,checking,2025-08-01,active,US
ACC-FEED-004,CUST-FEED-004,checking,2025-08-01,active,US
ACC-FEED-005,CUST-FEED-005,checking,2025-08-01,active,US
ACC-FEED-006,CUST-FEED-006,checking,2025-08-01,active,US
