tx_id,from_account_id,to_account_id,amount,tx_time,channel,merchant_category,tx_type,is_fraud_label,scenario_tag
TX-00048,ACC-BIZ-001,ACC-CHK-007,3163.78,2026-02-01 08:00:00,ach,payroll,transfer,normal,
TX-00032,ACC-BIZ-001,ACC-CHK-005,1940.51,2026-02-01 09:00:00,ach,payroll,transfer,normal,
TX-00040,ACC-BIZ-001,ACC-CHK-006,2653.41,2026-02-01 10:00:00,ach,payroll,transfer,normal,
TX-00065,ACC-BIZ-001,ACC-CHK-009,2660.21,2026-02-01 11:00:00,ach,payroll,transfer,normal,
TX-00153,ACC-BIZ-001,ACC-CHK-019,2790.00,2026-02-01 11:00:00,ach,payroll,transfer,normal,
TX-00025,ACC-BIZ-001,ACC-CHK-004,2283.93,2026-02-01 12:00:00,ach,payroll,transfer,normal,
TX-00015,ACC-BIZ-001,ACC-CHK-003,2886.81,2026-02-01 13:00:00,ach,payroll,transfer,normal,
TX-00020,ACC-CHK-003,ACC-BIZ-003,90.34,2026-02-01 16:04:00,card,groceries,withdrawal,normal,
TX-00058,ACC-CHK-008,ACC-BIZ-003,162.91,2026-02-01 16:05:00,card,groceries,withdrawal,normal,
TX-00012,ACC-CHK-002,ACC-BIZ-003,117.49,2026-02-01 16:22:00,card,groceries,withdrawal,normal,
TX-00100,ACC-CHK-012,ACC-BIZ-003,46.14,2026-02-01 17:52:00,card,groceries,withdrawal,normal,
TX-00006,ACC-CHK-001,ACC-BIZ-003,108.26,2026-02-01 23:46:00,card,groceries,withdrawal,normal,
TX-00172,ACC-CHK-002,ACC-CHK-003,280.86,2026-02-02 00:04:00,internal,p2p_transfer,transfer,normal,
TX-00035,ACC-CHK-005,ACC-BIZ-003,124.42,2026-02-02 00:55:00,card,groceries,withdrawal,normal,
TX-00115,ACC-CHK-014,ACC-BIZ-003,94.44,2026-02-02 01:02:00,card,groceries,withdrawal,normal,
TX-00108,ACC-CHK-013,ACC-BIZ-003,164.46,2026-02-02 03:15:00,card,groceries,withdrawal,normal,
TX-00195,ACC-CHK-004,ACC-CHK-002,228.71,2026-02-02 05:45:00,internal,p2p_transfer,transfer,normal,
TX-00103,ACC-BIZ-001,ACC-CHK-013,3138.82,2026-02-02 09:00:00,ach,payroll,transfer,normal,
TX-00008,ACC-BIZ-001,ACC-CHK-002,2183.76,2026-02-02 11:00:00,ach,payroll,transfer,normal,
TX-00084,ACC-BIZ-001,ACC-CHK-011,2880.15,2026-02-02 12:00:00,ach,payroll,transfer,normal,
TX-00120,ACC-BIZ-001,ACC-CHK-015,2719.93,2026-02-02 13:00:00,ach,payroll,transfer,normal,
TX-00198,ACC-CHK-019,ACC-CHK-002,31.23,2026-02-02 19:49:00,internal,p2p_transfer,transfer,normal,
TX-00158,ACC-CHK-019,ACC-BIZ-003,49.68,2026-02-02 21:30:00,card,groceries,withdrawal,normal,
TX-00145,ACC-CHK-017,ACC-CHK-017,576.86,2026-02-02 22:48:00,cash,branch_deposit,deposit,normal,
TX-00064,ACC-CHK-008,ACC-CHK-008,2460.66,2026-02-02 23:44:00,cash,branch_deposit,deposit,normal,
TX-00166,ACC-CHK-020,ACC-BIZ-003,178.99,2026-02-02 23:59:00,card,groceries,withdrawal,normal,
TX-00116,ACC-CHK-014,ACC-BIZ-003,175.84,2026-02-03 00:00:00,card,groceries,withdrawal,normal,
TX-00128,ACC-CHK-015,ACC-BIZ-003,188.14,2026-02-03 02:11:00,card,groceries,withdrawal,normal,
TX-00077,ACC-CHK-010,ACC-BIZ-003,143.61,2026-02-03 03:11:00,card,groceries,withdrawal,normal,
TX-00140,ACC-CHK-017,ACC-BIZ-003,187.58,2026-02-03 04:12:00,card,groceries,withdrawal,normal,
TX-00093,ACC-BIZ-001,ACC-CHK-012,2808.35,2026-02-03 08:00:00,ach,payroll,transfer,normal,
TX-00159,ACC-BIZ-001,ACC-CHK-020,3393.59,2026-02-03 08:00:00,ach,payroll,transfer,normal,
TX-00129,ACC-BIZ-001,ACC-CHK-016,3267.19,2026-02-03 10:00:00,ach,payroll,transfer,normal,
TX-00055,ACC-BIZ-001,ACC-CHK-008,2371.69,2026-02-03 12:00:00,ach,payroll,transfer,normal,
